name,description,image url,ingredients,preparation
Salsa Chicken,Quick and easy mexican style crock pot recipe,,,"Add Chicken to crock pot, and all other ingredients on top.  Cook on low for 6 hours"
Witches Brew,For a spooky halloween night,,,Combine mud and water until desired consistency.  Add grass and earthworms as a garnish. Serve chilled
Soft Chocolate Chip Cookies,"Very delicious, you can use any flavor pudding you like for this recipe.",,,"Preheat oven to 350 degrees F (175 degrees C). Sift together the flour and baking soda, set aside. In a large bowl, cream together the butter, brown sugar, and white sugar. Beat in the instant pudding mix until blended. Stir in the eggs and vanilla. Blend in the flour Bake for 10 to 12 minutes in the preheated oven. Edges should be golden brown.mixture. Finally, stir in the chocolate chips and nuts. Drop cookies by rounded spoonfuls onto ungreased cookie sheets."
Peanut Butter & Jam Sando,The golden oldie; never gets old,,,Apply peanut butter to one piece of bread.  Add jam to the top to desired height. Enjoy
Fried Chicken,Finger licking-greasy good,,,"Heat oil in deep fryer, apply batter to chicken until coated.  Add to fryer until golden brown. Towel dry."
,,,,
,,,,
Chocolate Coconut Milk Ice Cream,Healthy yet decadent,,"1 can coconut milk, 1/4 cup cocoa powder, 1/4 cup honey, 1 tsp vanilla extract","Combine all of the ingredients in a blender, and blend until smooth and creamy. Adjust the flavor to your taste, then transfer to a freezer-safe container. Place in the freezer for 4-6 hours, or until firm."
Bok Choy & Pineapple Slaw,Sweet and simple,,"1pound sliced baby bok choy, 2 ccups sliced pineaple, 1 cup cilantro, 3 tbl olive oil",Toss all ingredients and let it sit for 15min. before serving
Almond Butter Chocolate cups,"DIY ""Reeses"" but healthy",,"1 Tablespoon coconut oil, 1 Tbl maple syrup, 2 Tbl cocoa powder, salt, 3 tsp almond butter",Combine the first four ingredients in a bowl and whisk until smooth. Cover the bottom of 3 mini cupcake liners with chocolate. Harden in freezer for a few minutes. Add nut butter. Cover with chocolate then freeze to set it.
Yam Chips,Better than yo momma's,,"1 yam, olive oil, sea salt, pepper",Slice yam in thin slices using mandolin. Toss with rest of ingredients. Lay flat on foil and put it in the oven. Bake until crispy.
Homemade Almond Butter,Skip Skippy's for this natural delight!,,3 cups almonds,Process almonds using food processor for 20-30 minutes.
