name,desc,image,prep,user_id
Curiously Cumin,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,popcorn.jpg,1. Combine all ingredients in a Dutch oven 2. Cover and shake vigorously for 7 minutes over medium-high heat. 3. Serve!,1
Corn Chip Pie,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,chili-corn-chip-pie.jpg,1. Heat a microwave over medium-high counter space 2. Microwave your mom's chili 3. Place contents of chip bag into a fancy bowl 4. Dump and serve,2
White Castle Burgers,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,castle.jpg,1. Go to the store 2. Buy white castle burgers 3. Microwave 4 packs 4. Bam. Homemade.,3
Bacon Jalapeño Mac,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,bacon_jalapeno_mac.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,4
Chicken Empanadas,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,chicken_empanadas.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,4
Chicken Pasta,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,chicken_pasta.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,2
Cilantro Lime Rice,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,cilantro_lime_rice.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes., Lime,1
Mexican Quinoa,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,mexican_quinoa.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,2
Chicken Quesadilla,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,quesadilla.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,3
Street Corn,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,street_corn.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,1
Dungeness Crab,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,crab.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,1
Chicken & Figs,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,fig_chicken.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,4
Flan,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,flan.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,1
7-Layer Dip,Pork chop pork belly turkey leberkas. Pork loin biltong bacon rump alcatra venison spare ribs shoulder sausage tongue strip steak. Brisket swine meatball corned beef hamburger kielbasa cupim. Tongue ham hock salami kielbasa.,layer_dip.jpg,1. Lollipop powder cake pastry oat cake. 2. Chocolate cake cake sweet tart. 3. Biscuit sweet roll bonbon bonbon sweet. 4. Chocolate bar pastry soufflé candy marshmallow pastry macaroon sugar plum. 5. Tart cake chocolate jelly jelly-o lemon drops. 6. Wafer cheesecake liquorice cake sweet roll. 7. Sweet tiramisu candy canes.,2
