name,image,user_id,recipes
russet potatoes,russet-potatoes.jpg,1,"1, 3, 4, 5, 6, 9"
eggs,eggs-in-box.jpg,3,"1, 2, 6, 10, 11, 12"
salt,salt-and-pepper.jpg,1,"4, 5, 14, 15, 18, 21, 26"
pepper,salt-and-pepper.jpg,1,14
cooking oil,olive-oil.jpg,3,"2, 3, 4, 6, 9, 14, 18"
ketchup,mustard-and-ketchup.jpg,3,"2, 16"
onion,onion.jpg,1,"6, 8"
mustard,mustard-and-ketchup.jpg,3,"1, 10, 16"
mayonnaise,mayonnaise.jpg,1,"1, 16"
pineapple,pineapple.jpg,2,"13, 16"
watermelon,watermelon.jpg,2,13
grapes,red-grapes.jpg,2,13
strawberries,strawberries.jpg,2,13
chicken,chicken-on-the-barbecue.jpg,7,"14, 16"
flour,flour.jpg,7,"14, 15, 18, 21, 22, 23"
cayenne pepper,cayenne-pepper.jpg,7,"4, 14"
butter,bread-and-butter.jpg,4,"5, 15"
buttermilk,milk.jpg,4,15
baking powder,baking-powder.jpg,4,15
tortilla chips,tortilla-chips.jpg,7,16
sardines,sardines.jpg,7,16
beef,beef.jpg,6,27
rice,rice-and-umeboshi.jpg,6,25
cabbage,green-leafy-cabbage.jpg,6,26
chili paste,cayenne-pepper.jpg,6,26
green onion,green-onion.jpg,1,"5, 18, 26"
milk,milk.jpg,1,5
kimchi,kimchi.jpg,6,"18, 26"
water,water.jpg,6,"18, 23"
sugar,sugar.jpg,6,"18, 21, 22, 26"
garlic,garlic.jpg,5,"9, 26"
olive oil,olive-oil.jpg,5,"7, 8, 22, 23"
celery,celery.jpg,1,1
kimchi juice,kimchi-juice.jpg,6,"18, 26"
devil,devil.jpg,2,11
tomato,tomato.jpg,2,"23, 22"
bread,bread-and-butter.jpg,2,23
apples,apples.jpg,9,"20, 21"
cinnamon,cinnamon.jpg,9,"20, 21"
basil,basil.jpg,9,"24, 23, 22"
cheese,cheese.jpg,8,"22, 23"
