name,image,steps,description,user_id,cookbooks
potato salad,potato-salad.jpg,"1. slice & dice your eggs, celery, and potatoes|2. threaten them with the worst of fates as you mix them in a bowl with their compatriots mustard, salt, pepper, and mayonnaise",,1,"2, 3, 5"
tomatoed eggs,scrambled-eggs.jpg,"1. in a bowl, scramble eggs with ketchup|2. fry in a pan until ready to eat|3. horrify your friends as you enjoy delicious, brilliantly orange eggs",,3,
hash browns,hash-browns.jpg,1. shred your potatoes like the sweetest electric guitar|2. fry them up,,1,"1, 2, 6"
home fries,home-fries.jpg,"1. use a sharp implement to reduce your potatoes to bite-sized chunks|3. season with salt, pepper, & cayenne as you go|2. fry in a pan until well-crisped|4. serve HOT",,1,"3, 4"
mashed potatoes,mashed-potatoes.jpg,"1. slice (do not peel!) potatoes & pour into boiling pot of water|2. boil until tender|3. mash with a fork or whip out your immersion blender for an extra creamy texture|4.add butter, milk, salt, and green onion to taste",,1,"3, 4"
tortillas,tortilla-de-patatas.jpg,"1. peel & slice potatoes & onions|2. heat the oil in a pan and fry the potatoes until tender (10-15min)|3. remove from the heat & strain the potatoes out|4. add the onion & fry until transparent|5. remove & strain|6. in a bowl, scramble the eggs with the salt and pepper. carefully mix in the potatoes and onions & return to pan on low heat|7. cook until the eggs are set at the edges (8-10min), then carefully (use a flat pan or plate to assist) flip the tortilla|8. cook until done (5-6min, check w/ a skewer which should come out clean)|9. let cool at least 10min before consuming|10. don't expect any leftovers",spanish tortilla!,3,"1, 2, 3, 4"
roasted eggplant,roasted-eggplant.jpg,"1. brush eggplant with olive oil & salt mixture|2. bake at 350 until tender, 20-40min",Vehicolul meu pe pernă de aer e plin cu țipari,5,
basic pasta sauce,pasta-sauce.jpg,"1. fry the onion & garlic until transparent|2. add the basil, oregano, marjoram, diced tomatoes, and tomato paste & simmer for 20min|3. add the olive oil, salt, and wine & simmer another 15min|4. serve over pasta",Puno ng palos ang aking hoberkrap,5,
oven fries,home-fries.jpg,"1. slice potatoes|2. brush with oil|3. sprinkle nutmeg, cayenne, garlic, and salt over potatoes|4. bake at 375 until tender.",Min svävare är full med ålar,5,"3, 4"
egg salad,egg-salad.jpg,"1. go to the store.|2. buy one of those box salads.|3. grab a small plate.|4. place the egg upon your altar.|5. arrange the salad on the small plate in front of the egg.|6. behold the amazement, egg salad.",Meu aerodeslizador está cheio de enguias,3,"3, 5"
deviled eggs,deviled-eggs.jpg,1. find two devils.|2. ask them to hold the eggs.|3. squish the devils together.|4. watch as they grow angry.|5. enjoy your deviled eggs.,Umkhumbi wami ugcwele ngenyoka zemanzini,3,3
egg sandwich,boiled-egg.jpg,1. hard-boil first egg.|2. scramble second egg.|3. slice hard-boiled egg in half.|4. place scrambled egg between hard-boiled egg halves.|5. enjoy your delicious egg sandwich.,Inqwelo etshitshiliza phezu kwamanzi izele ziipalanga,3,3
fruit salad,fruit-salad.jpg,1. cut some fruit 2. put the fruit in a bowl and mix it around,Mae fy hofrenfad yn llawn llyswennod,2,5
fried chicken,fried-chicken.jpg,1. get chicken 2. season up flour with cayenne pepper 3. toss chicken in flour 4. dip in egg wash 5. repeat 6. fry that chicken up,Benim hovercraft yılan balığı dolu.,7,"5, 6"
biscuits,biscuits.jpg,1. cut butter into flour 2. pour in buttermilk and mix 3. shape into buscuit shapes 4. bake in oven till golden brown 5. smother in butter before consuming,내 호버크라프트는 장어로 가득 차 있어요,4,5
crazy nachos ,crazy-nachos.jpg,1. pour whatever disgusting things you want on top of nachos,私のホバークラフトは鰻でいっぱいです,7,6
coconut water,coconut-water.jpg,1. open and drink,"Δεν υπάρχει κανείς που να αγαπάει τον ίδιο τον πόνο, να τον αναζητά και να θέλει να τον νιώθει, επειδή απλά είναι πόνος...",4,6
김치전 (kimchijeon),kimchijeon.jpg,"1. mix flour, sugar, water, salt, kimchi, onion, & kimchi juice in a bowl|2. heat oil in a pan & fry on each side until golden & crispy|3. best pancakes ever","Da ist niemand der den Schmerz an sich liebt, der danach sucht und ihn haben möchte, einfach weil es Schmerz ist.",6,
egg party,many-egg-sizes.jpg,1. get a bunch of eggs. 2. throw some amazing party with them!,"Нет никого, кто любил бы боль саму по себе, кто искал бы её и кто хотел бы иметь её просто потому, что это боль..",3,
applesauce,applesauce.jpg,Collaboratively administrate empowered markets via plug-and-play networks. Dynamically procrastinate B2C users after installed base benefits. Dramatically visualize customer directed convergence without revolutionary ROI.,"Non c’è nessuno a cui piaccia il dolore in sé, che lo ricerchi e che voglia riceverlo, semplicemente perché è dolore...",9,
apple pie,apple-pie.jpg,Efficiently unleash cross-media information without cross-media value. Quickly maximize timely deliverables for real-time schemas. Dramatically maintain clicks-and-mortar solutions without functional solutions.,"There is no one who loves pain itself, who seeks after it and wants to have it, simply because it is pain...",8,
pizza,pizza.jpg,Completely synergize resource sucking relationships via premier niche markets. Professionally cultivate one-to-one customer service with robust ideas. Dynamically innovate resource-leveling customer service for state of the art customer service.,"Nie ma nikogo, kto lubiłby ból dla samego bólu, szukał go tylko po to, by go poczuć, po prostu dlatego, że to ból..",9,
